"idempreendedor","nomeempreendedor","cpf_cnpj","unidadegestor"
1,"EXTRATIVA MINERAL S/A","17174900000000",NULL
2,"EXTRATIVA MINERAL S/A","17174900000000",NULL
3,"CIMENTO TUPI S.A. EM RECUPERACAO JUDICIAL","33039200000000","CORBL"
4,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
5,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
6,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
7,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
8,"MINERACAO USIMINAS S.A.","12056600000000",NULL
9,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
10,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
11,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
12,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
13,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
14,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
15,"MINERACAO USIMINAS S.A.","12056600000000",NULL
16,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
17,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
18,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
19,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
20,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
21,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
22,"MINERACAO USIMINAS S.A.","12056600000000","CORBO"
23,"VALE S.A.","33592500000000","CORBL"
24,"VALE S.A.","33592500000000","CORBL"
25,"VALE S.A.","33592500000000","CORBL"
26,"VALE S.A.","33592500000000","CORBL"
27,"VALE S.A.","33592500000000","CORBL"
28,"VALE S.A.","33592500000000","CORBL"
29,"TECH ROCK MINERACAO LTDA","62579800000000",NULL
30,"VALE S.A.","33592500000000","CORBN"
31,"VALE S.A.","33592500000000","CORBN"
32,"VALE S.A.","33592500000000","CORBN"
33,"VALE S.A.","33592500000000","CORBN"
34,"MINERACAO SAO FRANCISCO DE ASSIS LTDA","42324000000000","CORBN"
35,"MINERACAO ONCA PUMA S.A.","48256800000000","CORBN"
36,"MINERACAO ONCA PUMA S.A.","48256800000000","CORBN"
37,"MINERACAO ONCA PUMA S.A.","48256800000000","CORBN"
38,"MINERACAO ONCA PUMA S.A.","48256800000000","CORBN"
39,"MINERACAO ONCA PUMA S.A.","48256800000000","CORBN"
40,"NOVELIS DO BRASIL LTDA.","60561800000000","CORBL"
41,"MOSAIC FERTILIZANTES P&K LTDA.","33931500000000","CORBN"
42,"CSN MINERACAO S.A.","8902290000000","CORBL"
43,"João Gimenes Rodrigues","***510957***","CORBS"
44,"José Vicente Nunes Rondon","***006492***","CORBS"
45,"MAGNESITA MINERACAO S.A.","592603000000",NULL
46,"NORAIR NELSON DE SOUZA","***522859***","CORBS"
47,"SIDNEI RAFAEL DE SOUZA","***096118***","CORBS"
48,"MAGNESITA MINERACAO S.A.","592603000000",NULL
49,"MAGNESITA MINERACAO S.A.","592603000000",NULL
50,"MAGNESITA MINERACAO S.A.","592603000000",NULL
51,"Marcir Norberto Weber","15947600000000",NULL
52,"MINERACAO CARAIBA S/A","42509300000000","CORBN"
53,"ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","2359570000000","CORBS"
54,"MINERACAO MATHEUS LEME LTDA","60510200000000","CORBO"
55,"MINERACAO MATHEUS LEME LTDA","60510200000000","CORBO"
56,"MINERACAO MATHEUS LEME LTDA","60510200000000","CORBO"
57,"MAGNESITA MINERACAO S.A.","592603000000",NULL
58,"MAGNESITA MINERACAO S.A.","592603000000",NULL
59,"MAGNESITA MINERACAO S.A.","592603000000",NULL
60,"MAGNESITA MINERACAO S.A.","592603000000",NULL
61,"MAGNESITA MINERACAO S.A.","592603000000",NULL
62,"MAGNESITA MINERACAO S.A.","592603000000",NULL
63,"ITAQUAREIA INDUSTRIA EXTRATIVA DE MINERIOS LTDA","55023400000000","CORBS"
64,"ITAQUAREIA INDUSTRIA EXTRATIVA DE MINERIOS LTDA","55023400000000","CORBS"
65,"COMPANHIA BAIANA DE PESQUISA MINERAL CBPM","13554900000000",NULL
66,"PEDREIRAS BAHIA LTDA","34089400000000","CORBN"
67,"Indústria Carbonífera Rio Deserto Ltda","83286500000000","CORBS"
68,"EXTRACAO E COMERCIO DE AREIA QUEVEDO & SILVA LTDA","2745440000000","CORBS"
69,"Pedreira Engebrita Ltda","61728800000000","CORBS"
70,"CADAM S.A.","4788980000000","CORBN"
71,"CADAM S.A.","4788980000000","CORBN"
72,"CADAM S.A.","4788980000000","CORBN"
73,"CADAM S.A.","4788980000000","CORBN"
74,"HERCULANO MINERACAO LTDA","41785800000000","CORBL"
75,"HERCULANO MINERACAO LTDA","41785800000000","CORBL"
76,"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","22825500000000","CORBN"
77,"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","22825500000000","CORBN"
78,"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","22825500000000","CORBN"
79,"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","22825500000000","CORBN"
80,"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","22825500000000","CORBN"
81,"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","22825500000000",NULL
82,"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","22825500000000","CORBN"
83,"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","22825500000000","CORBN"
84,"COOPERATIVA MINERADORA DOS GARIMPEIROS DE ARIQUEMES - COOMIGA","22825500000000","CORBN"
85,"MSM Mineração Serra da Moeda Ltda.","21705300000000",NULL
86,"MSM Mineração Serra da Moeda Ltda.","21705300000000",NULL
87,"MSM Mineração Serra da Moeda Ltda.","21705300000000",NULL
88,"MSM Mineração Serra da Moeda Ltda.","21705300000000",NULL
89,"MSM Mineração Serra da Moeda Ltda.","21705300000000",NULL
90,"MSM Mineração Serra da Moeda Ltda.","21705300000000",NULL
91,"MSM Mineração Serra da Moeda Ltda.","21705300000000",NULL
92,"MSM Mineração Serra da Moeda Ltda.","21705300000000",NULL
93,"MINERACAO TABOCA S A","34020000000000","CORBN"
94,"MINERACAO TABOCA S A","34020000000000","CORBN"
95,"MINERACAO TABOCA S A","34020000000000","CORBN"
96,"MINERACAO TABOCA S A","34020000000000","CORBN"
97,"MINERACAO TABOCA S A","34020000000000","CORBN"
98,"MINERACAO TABOCA S A","34020000000000","CORBN"
99,"MINERACAO TABOCA S A","34020000000000","CORBN"
100,"COMPANHIA MINERADORA DO PIROCLORO DE ARAXA","17806800000000","CORBO"
101,"EXTRACAO DE AREIA TABOAO LTDA","59724500000000","CORBS"
102,"EXTRACAO DE AREIA TABOAO LTDA","59724500000000","CORBS"
103,"MINERACAO GERAL DO BRASIL S/A","60727100000000","CORBO"
104,"CSN CIMENTOS BRASIL S.A. Filial: CSN CIMENTOS BRASIL S.A.","60869300000000","CORBO"
105,"MINERADORA PEDRIX LTDA","1290100000000","CORBS"
106,"ATLANTIC NICKEL MINERACAO LTDA","74127000000000","CORBN"
107,"XILOLITE S/A","62477100000000",NULL
108,"Mineração Pedra Menina Ltda","5059910000000",NULL
109,"Mineração Pedra Menina Ltda","5059910000000",NULL
110,"Mineração Pedra Menina Ltda","5059910000000",NULL
111,"CONCRESAND MINERACAO E TRANSPORTE LTDA","3833920000000","CORBS"
112,"MINERADORA PONTE ALTA LTDA","478237000000",NULL
113,"MINERADORA PONTE ALTA LTDA","478237000000",NULL
114,"Piteiras Mineração Ltda.","3369500000000","CORBL"
115,"MARCELO BOZETTI","***943625***","CORBS"
116,"COMPANHIA BRASILEIRA DE BENTONITA LTDA","4885980000000","CORBN"
117,"MINERAIS & METAIS COMERCIO E INDUSTRIA LTDA Filial: MINERAIS & METAIS COMERCIO E INDUSTRIA LTDA","2587630000000",NULL
118,"EMPRESA DE MINERACAO ESPERANCA S A","33301000000000","CORBO"
119,"EMPRESA DE MINERACAO ESPERANCA S A","33301000000000","CORBO"
120,"EMPRESA DE MINERACAO ESPERANCA S A","33301000000000","CORBO"
121,"DISK-BASE EXT.DE AREIA E COM.DE MAT.P/CONST.LTDA","62136200000000","CORBS"
122,"Mineração Santa Luzia de Aguaí Ltda","3716260000000","CORBS"
123,"Mineração Santa Luzia de Aguaí Ltda","3716260000000","CORBS"
124,"Mineração Nova Petrópolis Ltda.","16785100000000","CORBS"
125,"MINERACOES GERAIS LTDA","2196840000000",NULL
126,"PLINIO ALMEIDA BOSON & CIA LTDA","11714800000000","CORBN"
127,"ROZEN MINERADORA, CONSULTORIA E ASSESSORIA EM GESTAO EMPRESARIAL LTDA","10857700000000",NULL
128,"ARCELORMITTAL BRASIL S.A.","17469700000000",NULL
129,"ARCELORMITTAL BRASIL S.A.","17469700000000","CORBO"
130,"Minerita Minérios Itaúna Ltda.","16813500000000",NULL
131,"Minerita Minérios Itaúna Ltda.","16813500000000",NULL
132,"Minerita Minérios Itaúna Ltda.","16813500000000",NULL
133,"Minerita Minérios Itaúna Ltda.","16813500000000",NULL
134,"Minerita Minérios Itaúna Ltda.","16813500000000","CORBO"
135,"Vantage Brasil Mineração Ltda.","8222730000000",NULL
136,"ANGELO CARLOS VICARI JUNIOR","***923895***",NULL
137,"ANGELO CARLOS VICARI JUNIOR","***923895***",NULL
138,"UILSON ROMANHA & CIA LTDA","934199000000","CORBS"
139,"UILSON ROMANHA & CIA LTDA","934199000000","CORBS"
140,"UILSON ROMANHA & CIA LTDA","934199000000","CORBS"
141,"UILSON ROMANHA & CIA LTDA","934199000000","CORBS"
142,"Mineração Sanguinete Ltda","20762000000000","CORBL"
143,"Marcelo Busnardo EPP","27391000000000",NULL
144,"SALINAS GOLD MINERACAO LTDA","3212960000000",NULL
145,"Cooperativa de Extração de Carvão Mineral dos Trabalhadores de Criciúma","80967500000000","CORBS"
146,"MINERACAO COMISA LTDA","3405420000000",NULL
147,"Mineração Vila Nova Ltda","2008460000000",NULL
148,"Mineração Vila Nova Ltda","2008460000000",NULL
149,"MONTE SINAI MINERACAO LTDA","60095000139",NULL
150,"ORO AMAPA MINERACAO","6170250000000",NULL
151,"GERDAU ACOMINAS S/A","17227400000000","CORBL"
152,"GERDAU ACOMINAS S/A","17227400000000","CORBL"
153,"GERDAU ACOMINAS S/A","17227400000000","CORBL"
154,"WHITE SOLDER METALURGIA E MINERACAO LTDA Filial: WHITE SOLDER METALURGIA E MINERACAO LTDA","4107120000000",NULL
155,"PEDREIRA SARGON LTDA","60101300000000","CORBS"
156,"NORTE SUL TERRAPLENAGEM E COMERCIO LTDA","17133900000000","CORBN"
157,"FARIAS & RODRIGUES LTDA","11239500000000","CORBN"
158,"ARCELORMITTAL BRASIL S.A.","17469700000000","CORBL"
159,"ARCELORMITTAL BRASIL S.A.","17469700000000","CORBL"
160,"ARCELORMITTAL BRASIL S.A.","17469700000000","CORBL"
161,"ARCELORMITTAL BRASIL S.A.","17469700000000","CORBL"
162,"ARCELORMITTAL BRASIL S.A.","17469700000000",NULL
163,"ARCELORMITTAL BRASIL S.A.","17469700000000",NULL
164,"ARCELORMITTAL BRASIL S.A.","17469700000000",NULL
165,"PORTO COMERCIO DE AREIA LTDA","8491920000000","CORBN"
166,"MULLER & CIA LTDA","4800250000000","CORBN"
167,"MULLER & CIA LTDA","4800250000000","CORBN"
168,"EMPRESA DE MINERACAO, EXPORTACAO E PESQUISA DO AMAPA LTDA","14572100000000",NULL
169,"CIA DE FERRO LIGAS DA BAHIA FERBASA","15141800000000",NULL
170,"CIA DE FERRO LIGAS DA BAHIA FERBASA","15141800000000",NULL
171,"CIA DE FERRO LIGAS DA BAHIA FERBASA","15141800000000",NULL
172,"FERRO + MINERACAO S.A.","21256900000000","CORBL"
173,"SALOBO METAIS S/A","33931500000000","CORBN"
174,"SALOBO METAIS S/A","33931500000000","CORBN"
175,"SALOBO METAIS S/A","33931500000000","CORBN"
176,"SALOBO METAIS S/A","33931500000000","CORBN"
177,"SALOBO METAIS S/A","33931500000000","CORBN"
178,"SALOBO METAIS S/A","33931500000000","CORBN"
179,"MINERACAO JUNDU LTDA","60628500000000","CORBS"
180,"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","34456000000000",NULL
181,"BRASIL MINERIOS S/A","2683370000000",NULL
182,"EMPRESA MINERADORA BOA SORTE LTDA","45599000000000","CORBS"
183,"EXTRAÇÃO E COMÉRCIO DE AREIA BOFETE LTDA","69018900000000","CORBS"
184,"L PAVAN & CIA LTDA","44140100000000","CORBS"
185,"L PAVAN & CIA LTDA","44140100000000","CORBS"
186,"AGROPECUARIA SERRAMAR LTDA","52300500000000",NULL
187,"Empresa de Mineração Fiori do Taboão Ltda.","265541000000","CORBS"
188,"MINERADORA AREIA NOVA LTDA","2286820000000","CORBS"
189,"MINERACAO CARAIBA S/A","42509300000000",NULL
190,"MINERACAO CARAIBA S/A","42509300000000",NULL
191,"CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO Filial: CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO - EM RECUPERACAO JUDICIAL","27184900000000","CORBN"
192,"DUTRA EXTRACAO DE AREIA LTDA","48098700000000","CORBS"
193,"Valdinei Mauro de Souza","***568360***",NULL
194,"BRASIL MINERIOS S/A","2683370000000","CORBS"
195,"MINERACAO COMISA LTDA","3405420000000",NULL
196,"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","16628300000000","CORBL"
197,"SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL","16628300000000","CORBL"
198,"MINERACAO JUNDU LTDA","60628500000000","CORBS"
199,"Construtora Martins Lanna Ltda.","19974500000000","CORBO"
200,"Construtora Martins Lanna Ltda.","19974500000000","CORBO"
201,"CARBETO DE SILICIO SIKA BRASIL LTDA","32870700000000","CORBO"
202,"AVG EMPREENDIMENTOS MINERARIOS S.A.","16565900000000","CORBL"
203,"AVG EMPREENDIMENTOS MINERARIOS S.A.","16565900000000","CORBL"
204,"CARBETO DE SILICIO SIKA BRASIL LTDA","32870700000000","CORBO"
205,"CARBETO DE SILICIO SIKA BRASIL LTDA","32870700000000","CORBO"
206,"FERROMINAS - MINERAÇÃO LTDA","8814720000000","CORBO"
207,"FERROMINAS - MINERAÇÃO LTDA","8814720000000","CORBO"
208,"PEDREIRA UM VALEMIX LTDA","41716500000000","CORBL"
209,"Mib Mineração Ibirité Ltda","8578980000000","CORBO"
210,"Mib Mineração Ibirité Ltda","8578980000000","CORBO"
211,"MINERACAO MORRO DO IPE S.A.","22902600000000","CORBO"
212,"Alcoa World Alumina Brasil Ltda.","6167730000000",NULL
213,"VALE S.A.","33592500000000","CORBN"
214,"MINERACAO CARAIBA S/A","42509300000000",NULL
215,"MINERACAO CARAIBA S/A","42509300000000",NULL
216,"MINERACAO CARAIBA S/A","42509300000000",NULL
217,"MINERACAO CARAIBA S/A","42509300000000",NULL
218,"MINERACAO CARAIBA S/A","42509300000000",NULL
219,"MINERACAO CARAIBA S/A","42509300000000",NULL
220,"MINERACAO CARAIBA S/A","42509300000000",NULL
221,"MINERACAO CARAIBA S/A","42509300000000",NULL
222,"MINERACAO CARAIBA S/A","42509300000000",NULL
223,"MINERACAO CARAIBA S/A","42509300000000",NULL
224,"MINERACAO CARAIBA S/A","42509300000000",NULL
225,"MINERACAO CARAIBA S/A","42509300000000",NULL
226,"MINERACAO CARAIBA S/A","42509300000000",NULL
227,"MINERACAO CARAIBA S/A","42509300000000",NULL
228,"MINERACAO CARAIBA S/A","42509300000000",NULL
229,"MINERACAO CARAIBA S/A","42509300000000",NULL
230,"MINERACAO CARAIBA S/A","42509300000000",NULL
231,"MINERACAO CARAIBA S/A","42509300000000",NULL
232,"MINERACAO CARAIBA S/A","42509300000000",NULL
233,"Roberto Eustáquio Silva Pedrosa","546997000000",NULL
234,"Zamapá Mineração S.a.","5857560000000",NULL
235,"VETRIA MINERACAO S.A.","10228300000000",NULL
236,"PEDREIRA SARGON LTDA","60101300000000","CORBS"
237,"AVB MINERACAO LTDA.","7605560000000","CORBN"
238,"AVB MINERACAO LTDA.","7605560000000","CORBN"
239,"MOSAIC FERTILIZANTES P&K LTDA.","33931500000000","CORBO"
240,"MINERACAO ONCA PUMA S.A.","48256800000000","CORBN"
241,"MINERACAO DESCALVADO LIMITADA","54114500000000",NULL
242,"MOSAIC FERTILIZANTES P&K LTDA.","33931500000000","CORBS"
243,"MOSAIC FERTILIZANTES P&K LTDA.","33931500000000","CORBS"
244,"MOSAIC FERTILIZANTES P&K LTDA.","33931500000000","CORBS"
245,"SICAL INDUSTRIAL LTDA.","19416600000000","CORBO"
246,"VALE S.A.","33592500000000","CORBL"
247,"VALE S.A.","33592500000000","CORBL"
248,"VALE S.A.","33592500000000","CORBL"
249,"LHG MINING CORUMBA S.A","3327990000000",NULL
250,"NIKI MINERACAO, COMERCIO E EXPORTACAO LTDA.","8667140000000","CORBL"
251,"VALE S.A.","33592500000000","CORBL"
252,"MOSAIC FERTILIZANTES P&K LTDA.","33931500000000","CORBO"
253,"ALAIN STEPHANE RIVIERE MINERACAO","15264400000000",NULL
254,"Geominas Minerações Ltda.","11979700000000","CORBN"
255,"Geominas Minerações Ltda.","11979700000000","CORBN"
256,"PEDREIRA IBIUNA LTDA","68870400000000",NULL
257,"LHG MINING CORUMBA S.A","3327990000000",NULL
258,"ADAO AFONSO RODUI","***469372***",NULL
259,"A. C. ZARANELLA LTDA","53501600000000","CORBS"
260,"Valdinei Mauro de Souza","***568360***","CORBS"
261,"MINERACAO POSITIVA LTDA EM","16800200000000","CORBL"
262,"MINERACAO POSITIVA LTDA EM","16800200000000","CORBL"
263,"MINERACAO SANTA LUZIA LIMITADA","19791600000000","CORBN"
264,"MINERACAO CARAIBA S/A","42509300000000",NULL
265,"MINERACAO CARAIBA S/A","42509300000000",NULL
266,"MINERACAO CARAIBA S/A","42509300000000",NULL
267,"SAINT-GOBAIN DO BRASIL PRODUTOS INDUSTRIAIS E PARA CONSTRUCAO LTDA","61064800000000",NULL
268,"SAINT-GOBAIN DO BRASIL PRODUTOS INDUSTRIAIS E PARA CONSTRUCAO LTDA","61064800000000",NULL
269,"MINERACAO CARAIBA S/A","42509300000000",NULL
270,"MINERACAO CARAIBA S/A","42509300000000",NULL
271,"MINERACAO CARAIBA S/A","42509300000000",NULL
272,"MINERACAO CARAIBA S/A","42509300000000",NULL
273,"MINERACAO CARAIBA S/A","42509300000000",NULL
274,"MINERACAO CARAIBA S/A","42509300000000",NULL
275,"MINERACAO CARAIBA S/A","42509300000000",NULL
276,"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","34456000000000",NULL
277,"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","34456000000000",NULL
278,"MINERACAO CARAIBA S/A","42509300000000",NULL
279,"MINERACOES GERAIS LTDA","2196840000000",NULL
280,"SIDNEI RAFAEL DE SOUZA","***096118***","CORBS"
281,"MOSAIC FERTILIZANTES P&K LTDA.","33931500000000","CORBO"
282,"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","34456000000000",NULL
283,"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","34456000000000",NULL
284,"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","34456000000000",NULL
285,"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","34456000000000","CORBN"
286,"Manoel Rodrigues Gimenes","***157070***",NULL
287,"MINERACAO CARAIBA S/A","42509300000000",NULL
288,"MINERACAO CARAIBA S/A","42509300000000",NULL
289,"MINERACAO CARAIBA S/A","42509300000000",NULL
290,"MINERACAO CARAIBA S/A","42509300000000",NULL
291,"MINERACAO CARAIBA S/A","42509300000000",NULL
292,"MINERACAO CARAIBA S/A","42509300000000",NULL
293,"MINERACAO CARAIBA S/A","42509300000000",NULL
294,"MINERACAO CARAIBA S/A","42509300000000",NULL
295,"MINERACAO JUNDU LTDA","60628500000000","CORBS"
296,"MINERACAO JUNDU LTDA","60628500000000","CORBS"
297,"UILSON ROMANHA & CIA LTDA","934199000000","CORBS"
298,"METALMIG MINERACAO INDUSTRIA E COMERCIO S/A","34456000000000","CORBN"
299,"SANTA FELICIDADE MINERACAO SPE LTDA","48364400000000",NULL
300,"SERGIO DA SILVA","***206189***","CORBS"
301,"ANTONIO CAROLINO DE SOUZA","33145300000000","CORBS"
302,"ALTA FLORESTA GOLD MINERACAO LTDA","17580700000000","CORBCM"
303,"CARBONIFERA SIDEROPOLIS LTDA","83852100000000","CORBS"
304,"PEDRO CERQUEIRA CALDAS","***137773***",NULL
