"idlocalizacao","uf","municipio","latitude","longitude","posicionamento"
456,"MT","SERRA DO NAVIO","00°52'57.300''","-52°00'23.700''","Norte do Equador"
457,"MT","SERRA DO NAVIO","00°52'25.600''","-51°59'53.600''","Norte do Equador"
458,"MT","SERRA DO NAVIO","00°52'56.900''","-52°00'08.800''","Norte do Equador"
459,"SP","SERRA DO NAVIO","00°52'39.900''","-51°59'06.900''","Norte do Equador"
460,"MG","SERRA DO NAVIO","00°52'44.200''","-51°59'32.900''","Norte do Equador"
461,"MG","SERRA DO NAVIO","00°52'41.400''","-52°00'25.200''","Norte do Equador"
462,"MG","POCONÉ","-16°01'38.220''","-56°31'06.500''","Sul do Equador"
463,"SP","NOSSA SENHORA DO LIVRAMENTO","-15°39'42.780''","-56°20'05.030''","Sul do Equador"
464,"SP","OURO PRETO","-20°25'55.230''","-43°40'27.770''","Sul do Equador"
465,"MG","NOSSA SENHORA DO LIVRAMENTO","-15°51'58.910''","-56°09'04.010''","Sul do Equador"
466,"MG","POCONÉ","-16°06'55.530''","-56°35'37.270''","Sul do Equador"
467,"MG","PONTES E LACERDA","-15°22'51.160''","-59°15'29.540''","Sul do Equador"
468,"MG","NOVA LACERDA","-14°37'09.680''","-59°44'32.220''","Sul do Equador"
469,"MG","MOGI DAS CRUZES","-23°37'20.002''","-46°14'54.844''","Sul do Equador"
470,"MG","ARAXÁ","-19°39'25.200''","-46°56'24.650''","Sul do Equador"
471,"MG","BRUMADINHO","-20°03'53.300''","-44°01'45.200''","Sul do Equador"
472,"MG","BRUMADINHO","-20°03'58.700''","-44°01'37.900''","Sul do Equador"
473,"MG","SÃO SIMÃO","-21°25'58.030''","-47°36'47.670''","Sul do Equador"
474,"MG","SÃO SIMÃO","-21°25'49.220''","-47°36'47.000''","Sul do Equador"
475,"MG","NOVA LIMA","-19°57'36.000''","-43°52'58.000''","Sul do Equador"
476,"GO","OURO PRETO","-20°17'25.615''","-43°29'25.900''","Sul do Equador"
477,"GO","SÃO TIAGO","-21°04'21.600''","-44°35'18.540''","Sul do Equador"
478,"GO","MIRAÍ","-21°12'41.671''","-42°42'53.751''","Sul do Equador"
479,"GO","CONCEIÇÃO DO MATO DENTRO","-18°51'40.980''","-43°24'14.390''","Sul do Equador"
480,"GO","MERCÊS","-21°07'57.271''","-43°21'01.241''","Sul do Equador"
481,"AM","CONCEIÇÃO DO MATO DENTRO","-18°53'23.000''","-43°24'19.000''","Sul do Equador"
482,"AM","CONCEIÇÃO DO MATO DENTRO","-18°55'54.000''","-43°24'06.000''","Sul do Equador"
483,"AM","CONCEIÇÃO DO MATO DENTRO","-18°55'68.000''","-43°24'04.290''","Sul do Equador"
484,"AM","SANTO ANTÔNIO DO GRAMA","-20°20'41.300''","-42°33'42.800''","Sul do Equador"
485,"AM","CONCEIÇÃO DO MATO DENTRO","-18°55'14.984''","-43°24'23.663''","Sul do Equador"
486,"AM","OUVIDOR","-18°09'45.000''","-47°50'43.500''","Sul do Equador"
487,"AM","OUVIDOR","-18°08'53.000''","-47°48'11.000''","Sul do Equador"
488,"AM","OUVIDOR","-18°09'07.693''","-47°48'20.401''","Sul do Equador"
489,"MG","OUVIDOR","-18°08'40.000''","-47°48'22.000''","Sul do Equador"
490,"PA","OUVIDOR","-18°08'30.000''","-47°48'41.000''","Sul do Equador"
491,"PA","PRESIDENTE FIGUEIREDO","-00°44'00.100''","-60°08'18.200''","Sul do Equador"
492,"PA","PRESIDENTE FIGUEIREDO","-00°47'08.600''","-60°08'30.900''","Sul do Equador"
493,"PA","PRESIDENTE FIGUEIREDO","-00°47'22.800''","-60°08'39.400''","Sul do Equador"
494,"PA","PRESIDENTE FIGUEIREDO","-00°44'16.900''","-60°04'44.100''","Sul do Equador"
495,"PA","PRESIDENTE FIGUEIREDO","-00°43'56.233''","-60°04'08.396''","Sul do Equador"
496,"PA","PRESIDENTE FIGUEIREDO","-00°44'18.326''","-60°04'33.114''","Sul do Equador"
497,"MG","PRESIDENTE FIGUEIREDO","-00°45'23.673''","-60°05'16.904''","Sul do Equador"
498,"BA","PRESIDENTE FIGUEIREDO","-00°47'07.300''","-60°11'36.280''","Sul do Equador"
499,"MG","RIACHO DOS MACHADOS","-16°03'16.560''","-43°06'50.630''","Sul do Equador"
500,"MG","JURUTI","-02°30'18.000''","-56°10'32.800''","Sul do Equador"
501,"PR","JURUTI","-02°29'02.500''","-56°12'06.600''","Sul do Equador"
502,"PA","JURUTI","-02°29'13.000''","-56°10'23.000''","Sul do Equador"
503,"PA","JURUTI","-02°29'45.200''","-56°11'16.840''","Sul do Equador"
504,"PA","JURUTI","-02°29'47.800''","-56°10'25.700''","Sul do Equador"
505,"PA","JURUTI","-02°30'02.500''","-56°10'00.500''","Sul do Equador"
506,"PA","JURUTI","-02°29'10.500''","-56°11'45.600''","Sul do Equador"
507,"MG","ITABIRITO","-20°15'37.580''","-43°55'36.390''","Sul do Equador"
508,"MG","JAGUARARI","-09°50'08.630''","-39°49'28.160''","Sul do Equador"
509,"MT","ITATIAIUÇU","-20°08'18.330''","-44°23'11.710''","Sul do Equador"
510,"MG","ITATIAIUÇU","-20°08'19.320''","-44°22'48.680''","Sul do Equador"
511,"MG","CAMPO LARGO","-25°22'13.821''","-49°41'27.099''","Sul do Equador"
512,"MG","MARABÁ","-05°46'40.800''","-50°31'22.500''","Sul do Equador"
513,"MG","MARABÁ","-05°49'24.000''","-50°29'27.000''","Sul do Equador"
514,"MG","MARABÁ","-05°49'02.136''","-50°34'01.808''","Sul do Equador"
515,"MG","MARABÁ","-05°46'45.984''","-50°32'17.016''","Sul do Equador"
516,"SP","MARABÁ","-05°49'57.400''","-50°32'28.000''","Sul do Equador"
517,"SP","ITAÚNA","-20°08'51.941''","-44°27'36.371''","Sul do Equador"
518,"BA","ITAÚNA","-20°08'54.160''","-44°27'35.942''","Sul do Equador"
519,"BA","PONTES E LACERDA","-15°25'07.890''","-59°20'50.610''","Sul do Equador"
520,"MA","CALDAS","-21°57'58.000''","-46°30'40.000''","Sul do Equador"
521,"MA","CALDAS","-21°58'14.740''","-46°29'38.080''","Sul do Equador"
522,"BA","CALDAS","-21°56'24.914''","-46°29'20.828''","Sul do Equador"
523,"BA","ARCOS","-20°18'59.620''","-45°34'59.380''","Sul do Equador"
524,"BA","ARCOS","-20°18'48.380''","-45°34'38.840''","Sul do Equador"
525,"PA","ITATIAIUÇU","-20°08'15.300''","-44°23'46.200''","Sul do Equador"
526,"PA","MOGI DAS CRUZES","-23°29'49.800''","-46°14'38.000''","Sul do Equador"
527,"MG","SÃO PAULO","-23°24'34.400''","-46°43'52.400''","Sul do Equador"
528,"MG","SANTALUZ","-11°00'13.100''","-39°18'03.000''","Sul do Equador"
529,"MG","SANTALUZ","-11°00'12.400''","-39°17'13.300''","Sul do Equador"
530,"MG","GODOFREDO VIANA","-01°18'34.536''","-45°46'03.956''","Sul do Equador"
531,"MG","GODOFREDO VIANA","-01°18'04.800''","-45°45'40.700''","Sul do Equador"
532,"MG","BARROCAS","-11°26'58.800''","-39°05'22.800''","Sul do Equador"
533,"MG","BARROCAS","-11°26'49.682''","-39°04'16.305''","Sul do Equador"
534,"MG","BARROCAS","-11°26'53.000''","-39°05'53.000''","Sul do Equador"
535,"MG","ITAITUBA","-06°19'30.340''","-55°47'10.880''","Sul do Equador"
536,"MG","ITAITUBA","-06°19'30.300''","-55°47'04.200''","Sul do Equador"
537,"MG","ITABIRITO","-20°18'06.730''","-43°55'22.890''","Sul do Equador"
538,"MG","SERRA DO SALITRE","-19°02'52.200''","-46°43'26.400''","Sul do Equador"
539,"MG","SABARÁ","-19°51'25.900''","-43°48'16.300''","Sul do Equador"
540,"MG","BARÃO DE COCAIS","-19°58'32.614''","-43°36'02.511''","Sul do Equador"
541,"TO","BARÃO DE COCAIS","-19°58'12.632''","-43°35'48.721''","Sul do Equador"
542,"MT","MARIANA","-20°10'33.845''","-43°29'14.340''","Sul do Equador"
543,"MT","MARIANA","-20°08'21.443''","-43°24'44.399''","Sul do Equador"
544,"MT","CATAS ALTAS","-20°06'19.708''","-43°24'15.056''","Sul do Equador"
545,"MT","MARIANA","-20°09'58.822''","-43°29'03.449''","Sul do Equador"
546,"MG","OURO PRETO","-20°16'13.852''","-43°29'46.447''","Sul do Equador"
547,"MG","SANTA BÁRBARA","-20°10'24.600''","-43°36'55.100''","Sul do Equador"
548,"MG","MARIANA","-20°09'33.507''","-43°28'09.519''","Sul do Equador"
549,"MG","MARIANA","-20°11'04.315''","-43°26'15.409''","Sul do Equador"
550,"MG","MARIANA","-20°12'26.903''","-43°27'15.839''","Sul do Equador"
551,"MG","ALMAS","-11°43'07.021''","-47°11'20.407''","Sul do Equador"
552,"MG","NOSSA SENHORA DO LIVRAMENTO","-16°08'21.600''","-56°23'45.600''","Sul do Equador"
553,"MG","NOSSA SENHORA DO LIVRAMENTO","-16°09'47.960''","-56°24'57.190''","Sul do Equador"
554,"PA","NOSSA SENHORA DO LIVRAMENTO","-16°11'23.770''","-56°24'44.940''","Sul do Equador"
555,"MT","NOSSA SENHORA DO LIVRAMENTO","-16°11'03.320''","-56°26'06.040''","Sul do Equador"
556,"MS","NOVA LIMA","-19°58'37.512''","-43°53'34.810''","Sul do Equador"
557,"MT","NOVA LIMA","-19°57'56.000''","-43°53'07.000''","Sul do Equador"
558,"MS","NOVA LIMA","-19°58'02.514''","-43°52'58.725''","Sul do Equador"
559,"MT","BRUMADINHO","-20°06'29.782''","-44°04'25.204''","Sul do Equador"
560,"MT","BRUMADINHO","-20°07'10.700''","-44°08'21.200''","Sul do Equador"
561,"MT","BRUMADINHO","-20°07'41.100''","-44°08'17.800''","Sul do Equador"
562,"MT","BRUMADINHO","-20°07'08.600''","-44°07'27.900''","Sul do Equador"
563,"MT","BRUMADINHO","-20°06'15.400''","-44°07'10.800''","Sul do Equador"
564,"MT","CANAÃ DOS CARAJÁS","-06°25'44.792''","-50°04'12.554''","Sul do Equador"
565,"MG","POCONÉ","-16°15'18.000''","-56°36'55.000''","Sul do Equador"
566,"MT","CORUMBÁ","-19°15'55.000''","-57°31'35.800''","Sul do Equador"
567,"MG","POCONÉ","-16°15'19.170''","-56°36'25.500''","Sul do Equador"
568,"MT","CORUMBÁ","-19°15'45.700''","-57°31'37.400''","Sul do Equador"
569,"MG","POCONÉ","-16°03'00.910''","-56°32'53.790''","Sul do Equador"
570,"MT","NOSSA SENHORA DO LIVRAMENTO","-15°46'29.100''","-56°17'08.600''","Sul do Equador"
571,"MG","POCONÉ","-16°13'57.370''","-56°36'25.111''","Sul do Equador"
572,"MT","POCONÉ","-16°06'39.080''","-56°34'26.280''","Sul do Equador"
573,"MG","POCONÉ","-16°17'32.640''","-56°39'02.720''","Sul do Equador"
574,"MT","POCONÉ","-16°02'16.500''","-56°32'15.500''","Sul do Equador"
575,"MG","ITATIAIUÇU","-20°10'22.518''","-44°26'54.771''","Sul do Equador"
576,"MG","NOSSA SENHORA DO LIVRAMENTO","-15°39'22.881''","-56°20'16.227''","Sul do Equador"
577,"MG","ITATIAIUÇU","-20°10'15.500''","-44°27'16.500''","Sul do Equador"
578,"MG","POCONÉ","-16°15'02.200''","-56°35'56.900''","Sul do Equador"
579,"MG","SÃO GONÇALO DO RIO ABAIXO","-19°52'43.139''","-43°22'41.690''","Sul do Equador"
580,"MG","POCONÉ","-16°14'45.290''","-56°35'19.550''","Sul do Equador"
581,"MT","SÃO GONÇALO DO RIO ABAIXO","-19°52'29.203''","-43°22'47.022''","Sul do Equador"
582,"MT","POCONÉ","-16°14'47.150''","-56°35'15.890''","Sul do Equador"
583,"PA","SÃO GONÇALO DO RIO ABAIXO","-19°51'50.917''","-43°21'21.130''","Sul do Equador"
584,"PA","PONTES E LACERDA","-15°14'53.357''","-59°17'34.245''","Sul do Equador"
585,"PA","BARÃO DE COCAIS","-19°51'04.850''","-43°24'49.570''","Sul do Equador"
586,"MT","SÃO GONÇALO DO RIO ABAIXO","-19°53'02.310''","-43°23'08.448''","Sul do Equador"
587,"MT","SANTA BÁRBARA","-19°57'33.180''","-43°14'20.000''","Sul do Equador"
588,"PA","RIO PIRACICABA","-19°55'47.792''","-43°11'46.298''","Sul do Equador"
589,"MT","SANTA BÁRBARA","-19°57'49.103''","-43°14'16.323''","Sul do Equador"
590,"PA","RIO PIRACICABA","-19°55'56.851''","-43°12'33.168''","Sul do Equador"
591,"MT","POCONÉ","-16°15'37.000''","-56°35'44.000''","Sul do Equador"
592,"MT","POCONÉ","-16°15'31.000''","-56°35'47.000''","Sul do Equador"
593,"PA","PARAUAPEBAS","-06°05'58.000''","-50°09'45.000''","Sul do Equador"
594,"MT","PARAUAPEBAS","-06°02'48.556''","-50°08'34.509''","Sul do Equador"
595,"BA","PARAUAPEBAS","-06°06'29.300''","-50°10'08.600''","Sul do Equador"
596,"BA","POCONÉ","-16°15'19.650''","-56°40'16.680''","Sul do Equador"
597,"PA","POCONÉ","-16°15'23.890''","-56°40'10.530''","Sul do Equador"
598,"MG","PARAUAPEBAS","-05°59'41.256''","-50°06'34.134''","Sul do Equador"
599,"MT","POCONÉ","-16°18'18.490''","-56°43'14.198''","Sul do Equador"
600,"MG","PARAUAPEBAS","-06°04'41.300''","-50°17'29.300''","Sul do Equador"
601,"MG","POCONÉ","-16°17'42.550''","-56°43'32.220''","Sul do Equador"
602,"MG","POCONÉ","-16°17'26.700''","-56°42'43.100''","Sul do Equador"
603,"MG","PARAUAPEBAS","-06°06'45.823''","-50°18'30.921''","Sul do Equador"
604,"MG","POCONÉ","-16°18'30.700''","-56°44'57.670''","Sul do Equador"
605,"MG","JACOBINA","-11°14'06.400''","-40°31'44.700''","Sul do Equador"
606,"PA","JACOBINA","-11°14'37.100''","-40°31'32.700''","Sul do Equador"
607,"MG","PARAUAPEBAS","-05°58'45.400''","-50°08'29.100''","Sul do Equador"
608,"MG","NOVA LIMA","-20°01'34.413''","-43°56'33.225''","Sul do Equador"
609,"MG","POCONÉ","-16°03'58.900''","-56°33'50.270''","Sul do Equador"
610,"MG","CONGONHAS","-20°25'33.600''","-43°53'09.500''","Sul do Equador"
611,"MG","CONGONHAS","-20°26'24.500''","-43°54'18.500''","Sul do Equador"
612,"MG","CONGONHAS","-20°25'33.000''","-43°53'30.400''","Sul do Equador"
613,"MG","CONGONHAS","-20°26'02.500''","-43°52'56.400''","Sul do Equador"
614,"MG","OURO PRETO","-20°24'21.800''","-43°51'20.600''","Sul do Equador"
615,"MG","OURO PRETO","-20°24'29.800''","-43°51'06.500''","Sul do Equador"
616,"MG","ITAITUBA","-06°47'20.006''","-56°36'29.199''","Sul do Equador"
617,"MG","BELO VALE","-20°25'31.000''","-43°55'40.300''","Sul do Equador"
618,"MG","BELO VALE","-20°26'02.200''","-43°55'53.600''","Sul do Equador"
619,"MG","NOVA LIMA","-20°07'27.900''","-43°55'30.800''","Sul do Equador"
620,"MG","NOVA LIMA","-20°04'07.200''","-43°55'50.100''","Sul do Equador"
621,"MG","ITABIRITO","-20°11'47.700''","-43°52'01.500''","Sul do Equador"
622,"MG","ITABIRITO","-20°11'50.075''","-43°52'44.829''","Sul do Equador"
623,"MT","ITABIRITO","-20°12'40.649''","-43°52'54.287''","Sul do Equador"
624,"GO","NOVA LIMA","-20°07'47.600''","-43°55'32.500''","Sul do Equador"
625,"MT","NOVA LIMA","-20°09'10.400''","-43°53'18.300''","Sul do Equador"
626,"MT","NOVA LIMA","-20°09'20.500''","-43°53'13.600''","Sul do Equador"
627,"MG","ITABIRITO","-20°13'29.700''","-43°52'23.600''","Sul do Equador"
628,"MG","OURO PRETO","-20°26'50.670''","-43°38'37.760''","Sul do Equador"
629,"MG","ITABIRITO","-20°12'51.900''","-43°53'30.100''","Sul do Equador"
630,"MG","ITABIRITO","-20°13'15.096''","-43°54'30.082''","Sul do Equador"
631,"MG","NOVA LIMA","-20°06'38.215''","-43°57'49.011''","Sul do Equador"
632,"MG","NOVA LIMA","-20°10'54.700''","-43°52'01.200''","Sul do Equador"
633,"MT","NOSSA SENHORA DO LIVRAMENTO","-15°57'18.100''","-56°16'32.240''","Sul do Equador"
634,"PA","ALTO HORIZONTE","-14°12'21.000''","-49°24'22.200''","Sul do Equador"
635,"PA","POCONÉ","-16°18'45.010''","-56°39'08.230''","Sul do Equador"
636,"PA","POCONÉ","-16°03'46.540''","-56°33'42.940''","Sul do Equador"
637,"PA","OURO PRETO","-20°24'44.114''","-43°52'43.867''","Sul do Equador"
638,"MT","JECEABA","-20°33'45.400''","-43°57'03.100''","Sul do Equador"
639,"MG","OURO PRETO","-20°24'07.940''","-43°51'06.710''","Sul do Equador"
640,"MG","OURO PRETO","-20°23'41.200''","-43°51'05.600''","Sul do Equador"
641,"MG","OURO PRETO","-20°23'41.928''","-43°50'23.063''","Sul do Equador"
642,"MG","OURO PRETO","-20°24'53.200''","-43°51'54.500''","Sul do Equador"
643,"MG","OURO PRETO","-20°24'39.300''","-43°50'11.800''","Sul do Equador"
644,"MG","POCONÉ","-16°14'43.410''","-56°36'26.530''","Sul do Equador"
645,"MG","ITAITUBA","-06°21'58.030''","-56°16'04.000''","Sul do Equador"
646,"MG","ITAITUBA","-06°22'05.490''","-56°16'06.210''","Sul do Equador"
647,"MT","ITAITUBA","-06°21'39.010''","-56°16'01.590''","Sul do Equador"
648,"MT","CURIONÓPOLIS","-06°14'10.040''","-49°45'59.230''","Sul do Equador"
649,"MG","NOSSA SENHORA DO LIVRAMENTO","-16°00'21.090''","-56°13'45.280''","Sul do Equador"
650,"MT","SANTA BÁRBARA","-19°56'53.400''","-43°13'19.340''","Sul do Equador"
651,"MT","RIO PIRACICABA","-19°55'36.850''","-43°12'45.840''","Sul do Equador"
652,"MG","BARÃO DE COCAIS","-19°50'54.032''","-43°25'18.194''","Sul do Equador"
653,"MT","OURO PRETO","-20°11'35.310''","-43°30'30.600''","Sul do Equador"
654,"BA","MARIANA","-20°12'59.400''","-43°28'04.600''","Sul do Equador"
655,"MT","MARIANA","-20°11'18.042''","-43°29'52.393''","Sul do Equador"
656,"MT","MARIANA","-20°12'37.720''","-43°27'36.410''","Sul do Equador"
657,"MT","MARIANA","-20°13'52.750''","-43°26'30.540''","Sul do Equador"
658,"MT","MARIANA","-20°11'41.300''","-43°29'35.100''","Sul do Equador"
659,"MT","CUIABÁ","-15°33'36.600''","-55°47'33.600''","Sul do Equador"
660,"MG","NOSSA SENHORA DO LIVRAMENTO","-15°53'44.100''","-56°11'07.400''","Sul do Equador"
661,"MG","MARIANA","-20°14'28.600''","-43°24'39.193''","Sul do Equador"
662,"RN","NOSSA SENHORA DO LIVRAMENTO","-15°57'26.000''","-56°28'52.640''","Sul do Equador"
663,"BA","NOSSA SENHORA DO LIVRAMENTO","-15°57'37.670''","-56°28'41.780''","Sul do Equador"
664,"BA","SÃO TIAGO","-21°05'02.170''","-44°34'36.666''","Sul do Equador"
665,"MG","RIO BRANCO","-15°23'46.300''","-58°08'42.900''","Sul do Equador"
666,"MG","ITAGIBÁ","-14°11'20.792''","-39°41'49.707''","Sul do Equador"
667,"MG","CUIABÁ","-15°33'52.030''","-55°49'18.420''","Sul do Equador"
668,"MG","PONTES E LACERDA","-15°20'50.445''","-59°15'24.414''","Sul do Equador"
669,"MG","VILA BELA DA SANTÍSSIMA TRINDADE","-14°50'09.557''","-59°40'08.728''","Sul do Equador"
670,"SC","VILA BELA DA SANTÍSSIMA TRINDADE","-14°51'08.697''","-59°39'16.087''","Sul do Equador"
671,"MG","VILA BELA DA SANTÍSSIMA TRINDADE","-14°50'57.620''","-59°39'29.210''","Sul do Equador"
672,"SC","MARIANA","-20°14'09.149''","-43°25'22.771''","Sul do Equador"
673,"MG","MATIPÓ","-20°22'19.041''","-42°21'17.308''","Sul do Equador"
674,"SC","CURRAIS NOVOS","-06°12'07.495''","-36°17'59.078''","Sul do Equador"
675,"MG","CAMPO FORMOSO","-10°32'44.200''","-40°25'30.700''","Sul do Equador"
676,"SC","CAMPO FORMOSO","-10°32'42.000''","-40°24'52.400''","Sul do Equador"
677,"MG","NOVA LIMA","-20°03'29.700''","-43°57'50.700''","Sul do Equador"
678,"MG","NOVA LIMA","-20°03'40.100''","-43°57'40.800''","Sul do Equador"
679,"MG","NOVA LIMA","-20°02'21.600''","-43°55'44.900''","Sul do Equador"
680,"MG","ITABIRA","-19°34'28.232''","-43°14'46.628''","Sul do Equador"
681,"MG","ITABIRA","-19°34'32.225''","-43°12'17.125''","Sul do Equador"
682,"MG","TREVISO","-28°29'31.600''","-49°27'37.000''","Sul do Equador"
683,"MG","ITABIRA","-19°34'21.721''","-43°11'51.131''","Sul do Equador"
684,"SP","TREVISO","-28°29'38.900''","-49°27'36.100''","Sul do Equador"
685,"SP","ITABIRA","-19°38'51.300''","-43°16'26.900''","Sul do Equador"
