"idlocalizacao","uf","municipio","latitude","longitude","posicionamento"
686,"SP","TREVISO","-28°28'59.020''","-49°27'04.040''","Sul do Equador"
687,"SP","ITABIRA","-19°41'07.300''","-43°17'10.400''","Sul do Equador"
688,"MG","TREVISO","-28°28'56.790''","-49°27'04.780''","Sul do Equador"
689,"MG","ITABIRA","-19°34'13.730''","-43°13'53.604''","Sul do Equador"
690,"MG","ITABIRA","-19°33'48.506''","-43°12'22.618''","Sul do Equador"
691,"MG","ITABIRA","-19°33'18.339''","-43°09'39.105''","Sul do Equador"
692,"SC","ITABIRA","-19°36'45.017''","-43°16'00.408''","Sul do Equador"
693,"SC","OURO PRETO","-20°24'08.254''","-43°32'10.773''","Sul do Equador"
694,"MG","ITABIRA","-19°38'44.132''","-43°14'32.010''","Sul do Equador"
695,"MG","ITABIRA","-19°37'31.668''","-43°10'58.597''","Sul do Equador"
696,"SC","SANTANA DE PARNAÍBA","-23°24'03.560''","-46°55'05.690''","Sul do Equador"
697,"MG","CAJATI","-24°41'59.520''","-48°06'46.666''","Sul do Equador"
698,"PR","CAJATI","-24°41'35.000''","-48°07'13.000''","Sul do Equador"
699,"MG","CAJATI","-24°43'07.480''","-48°05'43.710''","Sul do Equador"
700,"PR","ARAXÁ","-19°38'59.000''","-46°56'46.000''","Sul do Equador"
701,"MG","ARAXÁ","-19°36'39.006''","-47°01'45.717''","Sul do Equador"
702,"MG","ITAMARATI DE MINAS","-21°27'18.809''","-42°52'17.972''","Sul do Equador"
703,"MG","MIRAÍ","-21°03'43.757''","-42°33'49.546''","Sul do Equador"
704,"MG","LAURO MÜLLER","-28°24'31.750''","-49°25'42.520''","Sul do Equador"
705,"MG","LAURO MÜLLER","-28°24'34.600''","-49°25'39.900''","Sul do Equador"
706,"MG","CAETÉ","-19°56'05.733''","-43°38'56.601''","Sul do Equador"
707,"MG","CONCEIÇÃO DO PARÁ","-19°44'45.800''","-44°52'27.900''","Sul do Equador"
708,"MG","SIDERÓPOLIS","-28°35'12.667''","-49°26'35.575''","Sul do Equador"
709,"MG","ARAXÁ","-19°38'01.000''","-46°59'47.000''","Sul do Equador"
710,"MG","CERRO AZUL","-24°44'54.630''","-49°11'16.070''","Sul do Equador"
711,"GO","ARAXÁ","-19°36'39.621''","-47°00'46.252''","Sul do Equador"
712,"GO","CERRO AZUL","-24°44'52.790''","-49°11'40.930''","Sul do Equador"
713,"SE","ARAXÁ","-19°39'00.734''","-46°57'08.359''","Sul do Equador"
714,"SE","ARAXÁ","-19°39'15.000''","-46°57'11.000''","Sul do Equador"
715,"MG","ARAXÁ","-19°37'01.000''","-47°01'16.000''","Sul do Equador"
716,"MG","ARAXÁ","-19°38'28.870''","-46°58'25.859''","Sul do Equador"
717,"MG","TAPIRA","-19°49'23.900''","-46°52'05.900''","Sul do Equador"
718,"MT","TAPIRA","-19°50'14.100''","-46°50'14.500''","Sul do Equador"
719,"MG","TAPIRA","-19°49'15.700''","-46°50'30.500''","Sul do Equador"
720,"MS","TAPIRA","-19°50'32.900''","-46°51'51.300''","Sul do Equador"
721,"AL","TAPIRA","-19°47'19.900''","-46°52'44.000''","Sul do Equador"
722,"MG","TAPIRA","-19°50'18.600''","-46°49'58.000''","Sul do Equador"
723,"MG","CATALÃO","-18°06'45.300''","-47°47'04.100''","Sul do Equador"
724,"MG","CATALÃO","-18°06'19.130''","-47°46'47.160''","Sul do Equador"
725,"MG","ROSÁRIO DO CATETE","-10°39'28.200''","-37°01'47.400''","Sul do Equador"
726,"MG","ROSÁRIO DO CATETE","-10°39'26.400''","-37°01'52.800''","Sul do Equador"
727,"MG","NOVA LIMA","-20°09'09.800''","-43°57'55.600''","Sul do Equador"
728,"MT","NOVA LIMA","-20°08'59.100''","-43°57'52.500''","Sul do Equador"
729,"MG","BRUMADINHO","-20°09'42.700''","-44°00'22.400''","Sul do Equador"
730,"MT","CUIABÁ","-15°32'02.460''","-56°03'02.290''","Sul do Equador"
731,"MG","SARZEDO","-20°05'23.640''","-44°06'01.760''","Sul do Equador"
732,"MT","CORUMBÁ","-19°13'28.008''","-57°33'35.925''","Sul do Equador"
733,"MG","CRAÍBAS","-09°40'20.100''","-36°46'23.700''","Sul do Equador"
734,"MT","PARACATU","-17°08'46.200''","-46°54'07.800''","Sul do Equador"
735,"MG","PARACATU","-17°08'46.800''","-46°51'22.800''","Sul do Equador"
736,"MT","PARACATU","-17°10'27.000''","-46°52'45.000''","Sul do Equador"
737,"PA","PARACATU","-17°10'31.800''","-46°53'16.200''","Sul do Equador"
738,"PA","PARACATU","-17°10'20.400''","-46°53'00.000''","Sul do Equador"
739,"PA","PARACATU","-17°10'56.400''","-46°53'55.800''","Sul do Equador"
740,"PA","NOSSA SENHORA DO LIVRAMENTO","-15°39'42.790''","-56°20'38.590''","Sul do Equador"
741,"PA","ITABIRA","-19°40'27.200''","-43°14'11.100''","Sul do Equador"
742,"PA","NOSSA SENHORA DO LIVRAMENTO","-15°39'49.845''","-56°21'09.410''","Sul do Equador"
743,"PA","ITABIRA","-19°36'33.516''","-43°15'48.177''","Sul do Equador"
744,"PA","NOSSA SENHORA DO LIVRAMENTO","-15°39'35.190''","-56°21'14.530''","Sul do Equador"
745,"PA","ITABIRA","-19°38'26.316''","-43°14'29.320''","Sul do Equador"
746,"PA","CUIABÁ","-15°39'53.710''","-56°21'01.810''","Sul do Equador"
747,"PA","ITABIRA","-19°36'26.409''","-43°15'26.118''","Sul do Equador"
748,"PA","NOSSA SENHORA DO LIVRAMENTO","-15°50'39.910''","-56°18'39.720''","Sul do Equador"
749,"PA","BARCARENA","-01°34'24.398''","-48°45'10.378''","Sul do Equador"
750,"MT","BARCARENA","-01°34'27.000''","-48°45'01.800''","Sul do Equador"
751,"MT","BARCARENA","-01°34'23.000''","-48°45'20.000''","Sul do Equador"
752,"MT","BARCARENA","-01°34'14.200''","-48°45'25.300''","Sul do Equador"
753,"MT","BARCARENA","-01°34'51.250''","-48°44'59.222''","Sul do Equador"
754,"MT","BARCARENA","-01°34'52.827''","-48°45'04.708''","Sul do Equador"
755,"MT","BARCARENA","-01°35'02.400''","-48°44'56.100''","Sul do Equador"
756,"PA","BARCARENA","-01°34'58.000''","-48°44'49.400''","Sul do Equador"
757,"PA","BARCARENA","-01°34'53.137''","-48°44'44.034''","Sul do Equador"
758,"MT","BARCARENA","-01°34'49.000''","-48°44'51.400''","Sul do Equador"
759,"MG","IPIXUNA DO PARÁ","-02°50'00.500''","-47°54'29.000''","Sul do Equador"
760,"MG","IPIXUNA DO PARÁ","-02°49'14.275''","-47°53'36.798''","Sul do Equador"
761,"PA","IPIXUNA DO PARÁ","-02°49'14.100''","-47°54'25.000''","Sul do Equador"
762,"PA","NOSSA SENHORA DO LIVRAMENTO","-16°03'31.580''","-56°21'10.380''","Sul do Equador"
763,"PA","NOSSA SENHORA DO LIVRAMENTO","-15°38'52.670''","-56°22'52.820''","Sul do Equador"
764,"PA","NOSSA SENHORA DO LIVRAMENTO","-15°39'33.400''","-56°17'06.300''","Sul do Equador"
765,"PA","NOSSA SENHORA DO LIVRAMENTO","-15°27'59.450''","-56°27'39.225''","Sul do Equador"
766,"PA","NOSSA SENHORA DO LIVRAMENTO","-15°59'15.130''","-56°18'49.880''","Sul do Equador"
767,"PA","NOSSA SENHORA DO LIVRAMENTO","-15°56'52.860''","-56°16'36.911''","Sul do Equador"
768,"PA","ITAITUBA","-06°04'04.560''","-56°17'11.390''","Sul do Equador"
769,"PA","ITAITUBA","-06°02'22.740''","-56°17'26.000''","Sul do Equador"
770,"PA","POCONÉ","-16°18'10.180''","-56°37'41.511''","Sul do Equador"
771,"PA","OURO PRETO","-20°25'24.810''","-43°45'11.170''","Sul do Equador"
772,"PA","OURO PRETO","-20°27'17.200''","-43°46'37.000''","Sul do Equador"
773,"PA","ORIXIMINÁ","-01°28'18.900''","-56°23'08.700''","Sul do Equador"
774,"PA","ORIXIMINÁ","-01°27'56.900''","-56°23'26.400''","Sul do Equador"
775,"PA","ORIXIMINÁ","-01°41'04.900''","-56°24'13.300''","Sul do Equador"
776,"PA","ORIXIMINÁ","-01°40'34.800''","-56°25'27.400''","Sul do Equador"
777,"PA","ORIXIMINÁ","-01°40'24.500''","-56°27'10.100''","Sul do Equador"
778,"PA","ORIXIMINÁ","-01°40'29.700''","-56°27'39.300''","Sul do Equador"
779,"PA","ORIXIMINÁ","-01°41'00.600''","-56°27'09.600''","Sul do Equador"
780,"PA","ORIXIMINÁ","-01°40'57.500''","-56°27'47.800''","Sul do Equador"
781,"PA","ORIXIMINÁ","-01°41'34.600''","-56°28'02.300''","Sul do Equador"
782,"PA","ORIXIMINÁ","-01°41'55.500''","-56°28'13.000''","Sul do Equador"
783,"PA","ORIXIMINÁ","-01°41'59.600''","-56°28'31.500''","Sul do Equador"
784,"PA","ORIXIMINÁ","-01°41'05.300''","-56°25'37.400''","Sul do Equador"
785,"PA","ORIXIMINÁ","-01°40'17.600''","-56°26'03.100''","Sul do Equador"
786,"PA","ORIXIMINÁ","-01°40'06.700''","-56°27'44.100''","Sul do Equador"
787,"PA","ORIXIMINÁ","-01°41'16.000''","-56°28'21.000''","Sul do Equador"
788,"PA","ORIXIMINÁ","-01°41'14.300''","-56°28'05.700''","Sul do Equador"
789,"PA","ORIXIMINÁ","-01°40'09.850''","-56°29'32.130''","Sul do Equador"
790,"SP","ORIXIMINÁ","-01°40'19.180''","-56°29'14.460''","Sul do Equador"
791,"MG","ORIXIMINÁ","-01°40'25.900''","-56°29'30.730''","Sul do Equador"
792,"MG","ORIXIMINÁ","-01°41'38.000''","-56°28'34.000''","Sul do Equador"
793,"MG","ORIXIMINÁ","-01°40'51.144''","-56°28'08.144''","Sul do Equador"
794,"MG","ORIXIMINÁ","-01°41'26.200''","-56°25'37.100''","Sul do Equador"
795,"MG","ORIXIMINÁ","-01°40'57.700''","-56°26'07.500''","Sul do Equador"
796,"SP","ORIXIMINÁ","-01°40'58.200''","-56°26'40.400''","Sul do Equador"
797,"MG","ORIXIMINÁ","-01°40'11.000''","-56°26'24.300''","Sul do Equador"
798,"MG","ORIXIMINÁ","-01°40'10.900''","-56°26'41.600''","Sul do Equador"
799,"MG","ORIXIMINÁ","-01°40'54.400''","-56°24'39.900''","Sul do Equador"
800,"MG","ORIXIMINÁ","-01°40'35.400''","-56°26'16.800''","Sul do Equador"
801,"MT","ORIXIMINÁ","-01°40'58.500''","-56°25'05.400''","Sul do Equador"
802,"SP","SALTO DE PIRAPORA","-23°39'43.200''","-47°39'59.900''","Sul do Equador"
803,"SP","ITAPECERICA","-20°26'24.200''","-45°07'55.200''","Sul do Equador"
804,"MG","ITAPECERICA","-20°26'16.300''","-45°08'54.300''","Sul do Equador"
805,"MT","SALTO DA DIVISA","-16°12'27.500''","-39°56'49.000''","Sul do Equador"
806,"MT","PEDRA AZUL","-15°53'19.800''","-41°03'36.800''","Sul do Equador"
807,"MT","PEDRA AZUL","-15°55'07.900''","-41°02'20.600''","Sul do Equador"
808,"SP","HORTOLÂNDIA","-22°51'07.563''","-47°14'21.706''","Sul do Equador"
809,"SP","VAZANTE","-17°57'54.000''","-46°50'39.000''","Sul do Equador"
810,"SP","VAZANTE","-17°57'40.809''","-46°50'59.200''","Sul do Equador"
811,"MG","OURO PRETO","-20°25'32.160''","-43°51'52.890''","Sul do Equador"
812,"MG","VAZANTE","-17°58'21.600''","-46°48'52.200''","Sul do Equador"
813,"MG","POCONÉ","-16°04'54.020''","-56°33'18.071''","Sul do Equador"
814,"RO","LEME","-22°11'20.000''","-47°27'25.000''","Sul do Equador"
815,"RO","IBIÚNA","-23°47'17.500''","-47°07'17.400''","Sul do Equador"
816,"RO","ITABIRITO","-20°12'37.637''","-43°41'08.800''","Sul do Equador"
817,"RO","NOSSA SENHORA DO LIVRAMENTO","-15°39'01.002''","-56°23'13.280''","Sul do Equador"
818,"SP","NOSSA SENHORA DO LIVRAMENTO","-15°39'16.680''","-56°23'09.060''","Sul do Equador"
819,"PA","NOSSA SENHORA DO LIVRAMENTO","-15°39'16.700''","-56°23'19.550''","Sul do Equador"
820,"AP","BOFETE","-23°10'40.200''","-48°20'40.800''","Sul do Equador"
821,"AP","GUARAREMA","-23°23'20.500''","-46°08'07.200''","Sul do Equador"
822,"AP","SANTA ISABEL","-23°21'23.900''","-46°17'05.800''","Sul do Equador"
823,"AP","RIO ACIMA","-20°09'39.643''","-43°50'52.101''","Sul do Equador"
824,"MT","RIO ACIMA","-20°09'48.200''","-43°51'03.610''","Sul do Equador"
825,"GO","RIO ACIMA","-20°09'31.827''","-43°50'34.785''","Sul do Equador"
826,"MT","ITAPUÃ DO OESTE","-09°12'15.700''","-63°05'04.400''","Sul do Equador"
827,"MG","ITAPUÃ DO OESTE","-09°11'55.300''","-63°04'30.500''","Sul do Equador"
828,"MG","ITAPUÃ DO OESTE","-09°12'19.954''","-63°05'01.035''","Sul do Equador"
829,"MG","ITAPUÃ DO OESTE","-09°12'39.100''","-63°05'11.000''","Sul do Equador"
830,"MG","SÃO PAULO","-23°25'14.000''","-46°44'09.800''","Sul do Equador"
831,"MG","ALMEIRIM","-00°53'51.400''","-52°26'30.500''","Sul do Equador"
832,"MG","VITÓRIA DO JARI","-00°53'51.673''","-52°22'44.295''","Sul do Equador"
833,"MT","PEDRA BRANCA DO AMAPARI","00°51'80.200''","-51°53'45.350''","Norte do Equador"
834,"MG","PEDRA BRANCA DO AMAPARI","00°50'71.400''","-51°53'17.500''","Norte do Equador"
835,"RS","PEDRA BRANCA DO AMAPARI","00°52'32.430''","-51°53'13.410''","Norte do Equador"
836,"RS","NOSSA SENHORA DO LIVRAMENTO","-15°52'21.100''","-56°10'19.900''","Sul do Equador"
837,"MG","CRIXÁS","-14°33'40.200''","-49°57'36.600''","Sul do Equador"
838,"MG","NOSSA SENHORA DO LIVRAMENTO","-15°52'28.649''","-56°09'59.637''","Sul do Equador"
839,"MG","SANTA BÁRBARA","-19°59'05.200''","-43°28'19.800''","Sul do Equador"
840,"MT","SANTA BÁRBARA","-20°01'08.000''","-43°29'35.000''","Sul do Equador"
841,"MT","SABARÁ","-19°51'58.815''","-43°43'37.915''","Sul do Equador"
842,"MT","NOVA LIMA","-19°57'49.000''","-43°50'20.000''","Sul do Equador"
843,"MT","NOVA LIMA","-19°58'25.000''","-43°49'46.000''","Sul do Equador"
844,"MG","NOVA LIMA","-19°57'55.000''","-43°50'31.000''","Sul do Equador"
845,"RO","NOSSA SENHORA DO LIVRAMENTO","-15°55'18.280''","-56°09'47.540''","Sul do Equador"
846,"RO","BETIM","-19°59'08.000''","-44°07'17.300''","Sul do Equador"
847,"SC","BUTIÁ","-30°08'44.381''","-52°00'13.591''","Sul do Equador"
848,"RO","CACHOEIRA DO SUL","-30°23'10.327''","-53°02'37.439''","Sul do Equador"
849,"AP","OURO PRETO","-20°26'16.735''","-43°50'02.435''","Sul do Equador"
850,"MT","CONGONHAS","-20°29'09.000''","-43°53'09.000''","Sul do Equador"
851,"BA","CONGONHAS","-20°30'21.000''","-43°53'00.000''","Sul do Equador"
852,"BA","NOSSA SENHORA DO LIVRAMENTO","-15°50'19.980''","-56°11'10.460''","Sul do Equador"
853,"BA","NOVA XAVANTINA","-14°38'26.700''","-52°29'49.000''","Sul do Equador"
854,"BA","NOVA XAVANTINA","-14°38'21.098''","-52°30'04.795''","Sul do Equador"
855,"BA","NOVA XAVANTINA","-14°38'25.076''","-52°30'03.686''","Sul do Equador"
856,"MT","CONGONHAS","-20°29'07.000''","-43°57'18.000''","Sul do Equador"
857,"MT","ARIQUEMES","-09°45'55.465''","-63°31'12.111''","Sul do Equador"
858,"BA","ARIQUEMES","-09°45'57.100''","-63°34'06.900''","Sul do Equador"
859,"BA","SIDERÓPOLIS","-28°34'38.200''","-49°26'31.900''","Sul do Equador"
860,"BA","ARIQUEMES","-09°47'16.100''","-63°34'30.600''","Sul do Equador"
861,"RO","PEDRA BRANCA DO AMAPARI","00°48'03.009''","-51°52'28.293''","Norte do Equador"
862,"RO","NOVA LACERDA","-14°32'13.600''","-59°46'12.880''","Sul do Equador"
863,"MT","CAETITÉ","-13°50'06.820''","-42°16'54.130''","Sul do Equador"
864,"MT","CAETITÉ","-13°50'05.090''","-42°16'52.210''","Sul do Equador"
865,"MT","CAETITÉ","-13°50'09.390''","-42°16'57.430''","Sul do Equador"
866,"PA","CAETITÉ","-13°50'09.990''","-42°17'03.420''","Sul do Equador"
867,"MT","MARACÁS","-13°69'40.142''","-40°68'93.806''","Sul do Equador"
868,"PA","POCONÉ","-16°01'37.490''","-56°31'29.280''","Sul do Equador"
869,"PA","POCONÉ","-16°01'28.340''","-56°31'16.190''","Sul do Equador"
870,"PA","MARACÁS","-13°41'12.251''","-40°41'29.982''","Sul do Equador"
871,"GO","MARACÁS","-13°41'14.100''","-40°41'20.900''","Sul do Equador"
872,"TO","MARACÁS","-13°41'23.770''","-40°41'29.300''","Sul do Equador"
873,"RJ","ARIQUEMES","-09°49'01.200''","-63°33'11.500''","Sul do Equador"
874,"MG","ARIQUEMES","-09°47'43.800''","-63°33'55.000''","Sul do Equador"
875,"MT","PONTES E LACERDA","-15°07'57.660''","-59°22'17.800''","Sul do Equador"
876,"MT","PONTES E LACERDA","-15°07'47.010''","-59°22'09.670''","Sul do Equador"
877,"MT","PONTES E LACERDA","-15°08'07.570''","-59°22'37.050''","Sul do Equador"
878,"MG","PARAGOMINAS","-03°15'54.986''","-47°45'11.400''","Sul do Equador"
879,"BA","PONTES E LACERDA","-15°07'50.480''","-59°22'45.910''","Sul do Equador"
880,"BA","PARAGOMINAS","-03°16'30.000''","-47°44'10.800''","Sul do Equador"
881,"MG","PARAGOMINAS","-03°15'34.180''","-47°45'29.400''","Sul do Equador"
882,"BA","PARAGOMINAS","-03°15'53.440''","-47°43'16.200''","Sul do Equador"
883,"SP","NIQUELÂNDIA","-14°24'57.500''","-48°15'19.930''","Sul do Equador"
884,"RO","ARRAIAS","-12°53'44.948''","-46°49'05.224''","Sul do Equador"
885,"MG","QUATIS","-22°27'18.200''","-44°17'10.300''","Sul do Equador"
886,"MG","CONGONHAS","-20°29'06.000''","-43°56'00.000''","Sul do Equador"
887,"MG","PONTES E LACERDA","-15°08'06.330''","-59°22'44.980''","Sul do Equador"
888,"SC","NOSSA SENHORA DO LIVRAMENTO","-15°41'21.580''","-56°21'11.810''","Sul do Equador"
889,"SP","NOSSA SENHORA DO LIVRAMENTO","-15°41'16.720''","-56°21'04.020''","Sul do Equador"
890,"PA","LAGAMAR","-18°16'47.500''","-46°51'43.600''","Sul do Equador"
891,"PA","MAIQUINIQUE","-15°46'38.400''","-40°19'20.400''","Sul do Equador"
892,"PA","MAIQUINIQUE","-15°46'42.000''","-40°19'04.200''","Sul do Equador"
893,"MG","FORTALEZA DE MINAS","-20°53'34.300''","-46°42'19.000''","Sul do Equador"
894,"MG","MAIQUINIQUE","-15°46'49.250''","-40°18'51.950''","Sul do Equador"
895,"MG","RIBEIRÃO BRANCO","-24°15'13.500''","-48°54'57.500''","Sul do Equador"
896,"RS","ARIQUEMES","-09°47'34.047''","-63°33'34.869''","Sul do Equador"
897,"TO","PARACATU","-17°29'46.800''","-46°49'07.800''","Sul do Equador"
898,"PA","PARACATU","-17°30'38.400''","-46°49'42.000''","Sul do Equador"
899,"MG","PARACATU","-17°30'48.000''","-46°49'42.000''","Sul do Equador"
900,"MG","URUSSANGA","-28°27'13.000''","-49°22'13.000''","Sul do Equador"
901,"MG","MONTE MOR","-22°56'18.300''","-47°14'24.900''","Sul do Equador"
902,"PA","MARABÁ","-05°30'45.000''","-50°13'21.000''","Sul do Equador"
903,"BA","MARABÁ","-05°30'32.687''","-50°14'00.427''","Sul do Equador"
904,"MT","MARABÁ","-05°30'48.910''","-50°14'07.920''","Sul do Equador"
905,"PA","BRUMADINHO","-20°07'11.300''","-44°18'26.900''","Sul do Equador"
906,"PA","IGARAPÉ","-20°06'37.550''","-44°17'12.020''","Sul do Equador"
907,"MT","IGARAPÉ","-20°06'12.700''","-44°17'17.500''","Sul do Equador"
908,"PA","CAÇAPAVA DO SUL","-30°55'11.200''","-53°25'04.950''","Sul do Equador"
909,"MG","NATIVIDADE","-11°38'50.700''","-47°40'36.240''","Sul do Equador"
910,"MG","ORIXIMINÁ","-01°40'47.230''","-56°29'48.630''","Sul do Equador"
911,"MG","PATOS DE MINAS","-18°22'51.200''","-46°55'37.900''","Sul do Equador"
912,"MG","PATOS DE MINAS","-18°22'44.500''","-46°55'35.300''","Sul do Equador"
913,"MG","PATOS DE MINAS","-18°22'47.300''","-46°55'58.200''","Sul do Equador"
914,"MG","NOVA ERA","-19°36'06.170''","-43°01'47.700''","Sul do Equador"
915,"PA","ITAITUBA","-06°02'15.800''","-56°17'35.700''","Sul do Equador"
916,"BA","CAETITÉ","-13°50'15.930''","-42°16'31.100''","Sul do Equador"
917,"MT","NOSSA SENHORA DO LIVRAMENTO","-15°52'52.280''","-56°20'46.920''","Sul do Equador"
